"DNA polymorphism id" "Map Set(外部v5)" "Chr" "Start" "End" "LG" "MP"
"9_12652401" "corn_B73_v5" 1 5753901 5753901 NA NA
"9_12652548" "corn_B73_v5" 1 5757496 5757496 NA NA
"9_12649525" "corn_B73_v5" 1 5765748 5765748 NA NA
"9_12649408" "corn_B73_v5" 1 5765800 5765800 NA NA
"9_12649570" "corn_B73_v5" 1 5765819 5765819 NA NA
"9_222924351" "corn_B73_v5" 1 5768488 5768488 NA NA
"9_12652449" "corn_B73_v5" 1 5773784 5773784 NA NA
"9_233725318" "corn_B73_v5" 1 5774794 5774794 NA NA
"9_12662065" "corn_B73_v5" 1 5847305 5847305 1 13.3
"9_12662063" "corn_B73_v5" 1 5847665 5847665 NA NA
"9_12662064" "corn_B73_v5" 1 5847684 5847684 1 13.3
"9_12662062" "corn_B73_v5" 1 5847798 5847798 1 7
"9_233726878" "corn_B73_v5" 1 6070992 6070992 NA NA
"9_23613930" "corn_B73_v5" 1 6202534 6202534 NA NA
"9_12652489" "corn_B73_v5" 1 6227969 6227969 NA NA
"9_12652523" "corn_B73_v5" 1 6230679 6230679 NA NA
"9_12652530" "corn_B73_v5" 1 6247088 6247088 NA NA
"9_12652448" "corn_B73_v5" 1 6249893 6249893 NA NA
"9_12652499" "corn_B73_v5" 1 6250265 6250265 NA NA
"9_12652467" "corn_B73_v5" 1 6263764 6263764 NA NA
"9_12652397" "corn_B73_v5" 1 6264443 6264443 NA NA
"9_233729384" "corn_B73_v5" 1 6266509 6266509 NA NA
"9_12668011" "corn_B73_v5" 1 6273269 6273269 NA NA
"9_12667850" "corn_B73_v5" 1 6273293 6273293 1 12.2
"9_12667832" "corn_B73_v5" 1 6273367 6273367 1 12.2
"9_12652419" "corn_B73_v5" 1 6275759 6275759 NA NA
"9_12652356" "corn_B73_v5" 1 6381458 6381458 NA NA
"9_12652583" "corn_B73_v5" 1 6493405 6493405 NA NA
"9_12652483" "corn_B73_v5" 1 6723794 6723794 NA NA
"9_233733274" "corn_B73_v5" 1 6781435 6781435 NA NA
"9_233734406" "corn_B73_v5" 1 6864991 6864991 NA NA
"9_12652415" "corn_B73_v5" 1 6986901 6986901 NA NA
"9_12652544" "corn_B73_v5" 1 6986908 6986908 1 13.5
"9_12670368" "corn_B73_v5" 1 7020666 7020666 1 14.8
"9_12652439" "corn_B73_v5" 1 7021056 7021056 NA NA
"9_12652591" "corn_B73_v5" 1 7027769 7027769 NA NA
"9_12652375" "corn_B73_v5" 1 7027966 7027966 1 14.2
"9_12652533" "corn_B73_v5" 1 7105382 7105382 1 8.3
"9_12667533" "corn_B73_v5" 1 7131575 7131575 NA NA
"9_12652567" "corn_B73_v5" 1 7287975 7287975 1 14.9
"9_12652435" "corn_B73_v5" 1 7287996 7287996 NA NA
"9_12652437" "corn_B73_v5" 1 7288526 7288526 1 15.2
"9_233738466" "corn_B73_v5" 1 7300772 7300772 NA NA
"9_233738468" "corn_B73_v5" 1 7300784 7300784 NA NA
"9_12664791" "corn_B73_v5" 1 7345005 7345005 1 14.7
"9_12652407" "corn_B73_v5" 1 7651506 7651506 NA NA
"9_233740468" "corn_B73_v5" 1 7667277 7667277 NA NA
"9_12652461" "corn_B73_v5" 1 7779924 7779924 NA NA
"9_256378720" "corn_B73_v5" 1 7814867 7814867 NA NA
"9_256923647" "corn_B73_v5" 1 7814877 7814877 NA NA
"9_233740951" "corn_B73_v5" 1 7815317 7815317 NA NA
"9_12652516" "corn_B73_v5" 1 7815816 7815816 NA NA
"9_12649440" "corn_B73_v5" 1 7818101 7818101 NA NA
"9_12652575" "corn_B73_v5" 1 7820403 7820403 NA NA
"9_12652518" "corn_B73_v5" 1 7821508 7821508 NA NA
"9_12652480" "corn_B73_v5" 1 7983560 7983560 NA NA
"9_12652528" "corn_B73_v5" 1 8087911 8087911 NA NA
"9_12652487" "corn_B73_v5" 1 8088152 8088152 NA NA
"9_12632588" "corn_B73_v5" 1 8306995 8306995 1 15.2
"9_12652441" "corn_B73_v5" 1 8308574 8308574 NA NA
"9_23617479" "corn_B73_v5" 1 8489079 8489079 NA NA
"9_12632313" "corn_B73_v5" 1 8532428 8532428 1 15.5
"9_12632312" "corn_B73_v5" 1 8532555 8532555 1 15.9
"9_12632310" "corn_B73_v5" 1 8532670 8532670 1 15.5
"9_12632311" "corn_B73_v5" 1 8532714 8532714 1 15.2
"9_23617711" "corn_B73_v5" 1 8533459 8533459 NA NA
"9_12640384" "corn_B73_v5" 1 8598491 8598491 NA NA
"9_12652363" "corn_B73_v5" 1 8614388 8614388 NA NA
"9_12652406" "corn_B73_v5" 1 8918470 8918470 NA NA
"9_12652475" "corn_B73_v5" 1 8951616 8951616 NA NA
"9_233749420" "corn_B73_v5" 1 9045936 9045936 NA NA
"9_12649450" "corn_B73_v5" 1 9050913 9050913 NA NA
"9_12649554" "corn_B73_v5" 1 9051015 9051015 NA NA
"9_12649405" "corn_B73_v5" 1 9051073 9051073 NA NA
"9_12649559" "corn_B73_v5" 1 9056904 9056904 NA NA
"9_12662117" "corn_B73_v5" 1 9058052 9058052 1 15.6
"9_12662121" "corn_B73_v5" 1 9058252 9058252 1 16.3
"9_12662120" "corn_B73_v5" 1 9058302 9058302 1 16.5
"9_12662116" "corn_B73_v5" 1 9058351 9058351 1 15.8
"9_12652442" "corn_B73_v5" 1 9058370 9058370 1 15.8
"9_257744266" "corn_B73_v5" 1 9100414 9100414 NA NA
"9_225897034" "corn_B73_v5" 1 9282057 9282057 NA NA
"9_12652417" "corn_B73_v5" 1 9286399 9286399 NA NA
"9_12652534" "corn_B73_v5" 1 9287325 9287325 NA NA
"9_12652446" "corn_B73_v5" 1 9287352 9287352 NA NA
"9_12652540" "corn_B73_v5" 1 9388181 9388181 NA NA
"9_12652353" "corn_B73_v5" 1 9424890 9424890 NA NA
"9_12652345" "corn_B73_v5" 1 9425076 9425076 NA NA
"9_12652509" "corn_B73_v5" 1 9425199 9425199 NA NA
"9_12652501" "corn_B73_v5" 1 9425749 9425749 NA NA
"9_12652546" "corn_B73_v5" 1 9426015 9426015 NA NA
"9_233752679" "corn_B73_v5" 1 9428268 9428268 NA NA
"9_233754469" "corn_B73_v5" 1 9537562 9537562 NA NA
"9_12652405" "corn_B73_v5" 1 9555075 9555075 NA NA
"9_12652411" "corn_B73_v5" 1 9574780 9574780 NA NA
"9_12648444" "corn_B73_v5" 1 9683669 9683669 NA NA
"9_12652361" "corn_B73_v5" 1 9932748 9932748 NA NA
"9_233756404" "corn_B73_v5" 1 9966842 9966842 NA NA
"9_23619585" "corn_B73_v5" 1 10045056 10045056 NA NA
"9_223137629" "corn_B73_v5" 1 10088052 10088052 NA NA
"9_12652529" "corn_B73_v5" 1 10193767 10193767 NA NA
"9_12649384" "corn_B73_v5" 1 10197966 10197966 1 27.1
"9_12649379" "corn_B73_v5" 1 10198236 10198236 NA NA
"9_12669496" "corn_B73_v5" 1 10199654 10199654 1 27.4
"9_12649459" "corn_B73_v5" 1 10199714 10199714 NA NA
"9_12649580" "corn_B73_v5" 1 10199856 10199856 NA NA
"9_12652507" "corn_B73_v5" 1 10201007 10201007 NA NA
"9_233757841" "corn_B73_v5" 1 10475230 10475230 NA NA
"9_12652488" "corn_B73_v5" 1 10553453 10553453 NA NA
"9_226373696" "corn_B73_v5" 1 10617147 10617147 NA NA
"9_226373693" "corn_B73_v5" 1 10617202 10617202 NA NA
"9_222792550" "corn_B73_v5" 1 10617982 10617982 NA NA
"9_12652538" "corn_B73_v5" 1 10773182 10773182 NA NA
"9_23620395" "corn_B73_v5" 1 10984656 10984656 NA NA
"9_12652444" "corn_B73_v5" 1 10987766 10987766 NA NA
"9_257198133" "corn_B73_v5" 1 11055151 11055151 NA NA
"9_23620529" "corn_B73_v5" 1 11078463 11078463 NA NA
"9_23620551" "corn_B73_v5" 1 11078992 11078992 NA NA
"9_12666670" "corn_B73_v5" 1 11479994 11479994 1 29.3
"9_12652492" "corn_B73_v5" 1 11480138 11480138 NA NA
"9_12652587" "corn_B73_v5" 1 11480257 11480257 NA NA
"9_12652574" "corn_B73_v5" 1 11480517 11480517 NA NA
"9_233764083" "corn_B73_v5" 1 11482809 11482809 NA NA
"9_12652351" "corn_B73_v5" 1 11487428 11487428 NA NA
"9_233764277" "corn_B73_v5" 1 11488619 11488619 NA NA
"9_12652400" "corn_B73_v5" 1 11559061 11559061 1 31.6
"9_12652498" "corn_B73_v5" 1 11573299 11573299 NA NA
"9_12652404" "corn_B73_v5" 1 11574039 11574039 NA NA
"9_23621116" "corn_B73_v5" 1 11612896 11612896 NA NA
"9_23621344" "corn_B73_v5" 1 12037493 12037493 NA NA
"9_12652382" "corn_B73_v5" 1 12042161 12042161 NA NA
"9_12652412" "corn_B73_v5" 1 12069828 12069828 NA NA
"9_12652573" "corn_B73_v5" 1 12070175 12070175 NA NA
"9_23621518" "corn_B73_v5" 1 12072363 12072363 NA NA
"9_12652466" "corn_B73_v5" 1 12073271 12073271 NA NA
"9_12652368" "corn_B73_v5" 1 12073367 12073367 NA NA
"9_233767965" "corn_B73_v5" 1 12074319 12074319 NA NA
"9_12652367" "corn_B73_v5" 1 12076177 12076177 NA NA
"9_23621695" "corn_B73_v5" 1 12189156 12189156 1 33.5
"9_12652379" "corn_B73_v5" 1 12235138 12235138 1 33.5
"9_12652384" "corn_B73_v5" 1 12260219 12260219 NA NA
"9_12652503" "corn_B73_v5" 1 12260233 12260233 NA NA
"9_233769979" "corn_B73_v5" 1 12267738 12267738 NA NA
"9_12652521" "corn_B73_v5" 1 12345110 12345110 NA NA
"9_233771572" "corn_B73_v5" 1 12407778 12407778 NA NA
"9_12652354" "corn_B73_v5" 1 12442327 12442327 NA NA
"9_12652464" "corn_B73_v5" 1 12452733 12452733 NA NA
"9_12652376" "corn_B73_v5" 1 12487274 12487274 NA NA
"9_233774228" "corn_B73_v5" 1 12577938 12577938 NA NA
"9_12664784" "corn_B73_v5" 1 12619369 12619369 1 34.7
"9_12664783" "corn_B73_v5" 1 12619391 12619391 NA NA
"9_12664789" "corn_B73_v5" 1 12619559 12619559 NA NA
"9_12664787" "corn_B73_v5" 1 12619609 12619609 1 32.4
"9_12664788" "corn_B73_v5" 1 12619687 12619687 NA NA
"9_12664785" "corn_B73_v5" 1 12619785 12619785 1 34.4
"9_12652666" "corn_B73_v5" 1 12620524 12620524 NA NA
"9_12652620" "corn_B73_v5" 1 12624166 12624166 NA NA
"9_12652598" "corn_B73_v5" 1 12624290 12624290 NA NA
"9_233776427" "corn_B73_v5" 1 12903754 12903754 NA NA
"9_233777541" "corn_B73_v5" 1 13033579 13033579 NA NA
"9_12652655" "corn_B73_v5" 1 13033608 13033608 NA NA
"9_12652812" "corn_B73_v5" 1 13062251 13062251 NA NA
"9_256650780" "corn_B73_v5" 1 13062253 13062253 NA NA
"9_12652695" "corn_B73_v5" 1 13064087 13064087 NA NA
"9_233778879" "corn_B73_v5" 1 13066757 13066757 NA NA
"9_233779057" "corn_B73_v5" 1 13070904 13070904 NA NA
"9_12659798" "corn_B73_v5" 1 13073762 13073762 NA NA
"9_12652649" "corn_B73_v5" 1 13656237 13656237 NA NA
"9_12652751" "corn_B73_v5" 1 13656378 13656378 NA NA
"9_12652765" "corn_B73_v5" 1 13656381 13656381 NA NA
"9_23623751" "corn_B73_v5" 1 13802245 13802245 NA NA
"9_233782871" "corn_B73_v5" 1 13806577 13806577 NA NA
"9_233784440" "corn_B73_v5" 1 14207122 14207122 NA NA
"9_233785702" "corn_B73_v5" 1 14253727 14253727 NA NA
"9_12652606" "corn_B73_v5" 1 14258687 14258687 1 35.1
"9_12649543" "corn_B73_v5" 1 14600139 14600139 NA NA
"9_12669068" "corn_B73_v5" 1 14600681 14600681 1 35.6
"9_12652731" "corn_B73_v5" 1 14956970 14956970 NA NA
"9_233789996" "corn_B73_v5" 1 14958792 14958792 NA NA
"9_233790027" "corn_B73_v5" 1 14959264 14959264 NA NA
"9_12667959" "corn_B73_v5" 1 15088616 15088616 NA NA
"9_12649397" "corn_B73_v5" 1 15088656 15088656 1 37.9
"9_12652613" "corn_B73_v5" 1 15194641 15194641 NA NA
"9_12671877" "corn_B73_v5" 1 15197708 15197708 1 38.9
"9_12671896" "corn_B73_v5" 1 15197819 15197819 1 35.8
"9_12652640" "corn_B73_v5" 1 15197966 15197966 NA NA
"9_12649531" "corn_B73_v5" 1 15198042 15198042 NA NA
"9_12612580" "corn_B73_v5" 1 15198776 15198776 NA NA
"9_257745068" "corn_B73_v5" 1 15198960 15198960 NA NA
"9_12663969" "corn_B73_v5" 1 15297587 15297587 1 35.1
"9_12663822" "corn_B73_v5" 1 15298182 15298182 1 39.3
"9_233795156" "corn_B73_v5" 1 15298310 15298310 NA NA
"9_12663818" "corn_B73_v5" 1 15298410 15298410 1 39.4
"9_12663821" "corn_B73_v5" 1 15298591 15298591 1 38
"9_12663820" "corn_B73_v5" 1 15298637 15298637 1 37.9
"9_233795662" "corn_B73_v5" 1 15564263 15564263 NA NA
"9_12652811" "corn_B73_v5" 1 15580183 15580183 NA NA
"9_223606014" "corn_B73_v5" 1 15726983 15726983 NA NA
"9_12652694" "corn_B73_v5" 1 15858864 15858864 NA NA
"9_233797542" "corn_B73_v5" 1 15900135 15900135 NA NA
"9_12652808" "corn_B73_v5" 1 15903700 15903700 1 37.1
"9_12657498" "corn_B73_v5" 1 15903747 15903747 1 37.1
"9_12664161" "corn_B73_v5" 1 15903764 15903764 1 37.3
"9_12652750" "corn_B73_v5" 1 15906628 15906628 1 38.7
"9_12664976" "corn_B73_v5" 1 15906729 15906729 1 38.6
"9_12664970" "corn_B73_v5" 1 15907015 15907015 1 38.3
"9_12664979" "corn_B73_v5" 1 15907042 15907042 1 37.1
"9_12664978" "corn_B73_v5" 1 15907161 15907161 1 36.9
"9_12652664" "corn_B73_v5" 1 15908917 15908917 NA NA
"9_12652622" "corn_B73_v5" 1 15936351 15936351 NA NA
"9_12652752" "corn_B73_v5" 1 16035323 16035323 NA NA
"9_233799562" "corn_B73_v5" 1 16128652 16128652 NA NA
"9_12652684" "corn_B73_v5" 1 16180870 16180870 NA NA
"9_12652746" "corn_B73_v5" 1 16310529 16310529 NA NA
"9_12652772" "corn_B73_v5" 1 16707124 16707124 NA NA
"9_233802689" "corn_B73_v5" 1 16746796 16746796 NA NA
"9_12652834" "corn_B73_v5" 1 16848467 16848467 NA NA
"9_12652778" "corn_B73_v5" 1 16867277 16867277 NA NA
"9_12652688" "corn_B73_v5" 1 16871015 16871015 NA NA
"9_23626777" "corn_B73_v5" 1 16871504 16871504 NA NA
"9_12652764" "corn_B73_v5" 1 17085216 17085216 1 40.2
"9_12668625" "corn_B73_v5" 1 17867594 17867594 NA NA
"9_12652696" "corn_B73_v5" 1 17896174 17896174 NA NA
"9_12652806" "corn_B73_v5" 1 17939166 17939166 NA NA
"9_12667994" "corn_B73_v5" 1 17945770 17945770 NA NA
"9_12652757" "corn_B73_v5" 1 18027173 18027173 NA NA
"9_12652805" "corn_B73_v5" 1 18041927 18041927 NA NA
"9_12652742" "corn_B73_v5" 1 18049962 18049962 NA NA
"9_12652661" "corn_B73_v5" 1 18081028 18081028 NA NA
"9_12652735" "corn_B73_v5" 1 18084218 18084218 NA NA
"9_12652804" "corn_B73_v5" 1 18173762 18173762 NA NA
"9_12652738" "corn_B73_v5" 1 18174425 18174425 NA NA
"9_12652631" "corn_B73_v5" 1 18174975 18174975 NA NA
"9_12652665" "corn_B73_v5" 1 18175163 18175163 NA NA
"9_12652830" "corn_B73_v5" 1 18176336 18176336 NA NA
"9_12652797" "corn_B73_v5" 1 18186163 18186163 NA NA
"9_12652776" "corn_B73_v5" 1 18186986 18186986 NA NA
"9_12652810" "corn_B73_v5" 1 18330945 18330945 NA NA
"9_12652828" "corn_B73_v5" 1 18337792 18337792 NA NA
"9_12652822" "corn_B73_v5" 1 18338697 18338697 NA NA
"9_12652727" "corn_B73_v5" 1 18342972 18342972 NA NA
"9_12652722" "corn_B73_v5" 1 18390062 18390062 NA NA
"9_12652809" "corn_B73_v5" 1 18397427 18397427 NA NA
"9_12652642" "corn_B73_v5" 1 18398418 18398418 NA NA
"9_12652835" "corn_B73_v5" 1 18401883 18401883 NA NA
"9_12652693" "corn_B73_v5" 1 18402023 18402023 NA NA
"9_233817714" "corn_B73_v5" 1 18402239 18402239 NA NA
"9_256925140" "corn_B73_v5" 1 18476040 18476040 NA NA
"9_12652724" "corn_B73_v5" 1 18493212 18493212 NA NA
"9_12649660" "corn_B73_v5" 1 18493392 18493392 NA NA
"9_233818437" "corn_B73_v5" 1 18783298 18783298 NA NA
"9_233818455" "corn_B73_v5" 1 18783463 18783463 NA NA
"9_12652686" "corn_B73_v5" 1 18846170 18846170 1 42.4
"9_12652699" "corn_B73_v5" 1 18900113 18900113 NA NA
"9_233820803" "corn_B73_v5" 1 19104587 19104587 NA NA
"9_12652726" "corn_B73_v5" 1 19172110 19172110 NA NA
"9_12649713" "corn_B73_v5" 1 19195571 19195571 NA NA
"9_12652730" "corn_B73_v5" 1 19199393 19199393 NA NA
"9_12652733" "corn_B73_v5" 1 19201225 19201225 NA NA
"9_12652826" "corn_B73_v5" 1 19310192 19310192 NA NA
"9_12665673" "corn_B73_v5" 1 19460829 19460829 1 41.4
"9_12665676" "corn_B73_v5" 1 19460916 19460916 NA NA
"9_12665680" "corn_B73_v5" 1 19460938 19460938 1 47.8
"9_12665677" "corn_B73_v5" 1 19461145 19461145 NA NA
"9_12665674" "corn_B73_v5" 1 19462544 19462544 1 47.7
"9_12652639" "corn_B73_v5" 1 19462939 19462939 1 41.4
"9_12652710" "corn_B73_v5" 1 19532278 19532278 NA NA
"9_23629404" "corn_B73_v5" 1 19809901 19809901 NA NA
"9_12652603" "corn_B73_v5" 1 19815751 19815751 NA NA
"9_12652760" "corn_B73_v5" 1 19874449 19874449 NA NA
"9_12652676" "corn_B73_v5" 1 19877985 19877985 NA NA
"9_12649703" "corn_B73_v5" 1 20113796 20113796 NA NA
"9_12652795" "corn_B73_v5" 1 20270991 20270991 NA NA
"9_12653024" "corn_B73_v5" 1 20590600 20590600 NA NA
"9_12653020" "corn_B73_v5" 1 21050962 21050962 NA NA
"9_12652995" "corn_B73_v5" 1 21230709 21230709 NA NA
"9_12653033" "corn_B73_v5" 1 21622491 21622491 1 41.1
"9_12652877" "corn_B73_v5" 1 21622934 21622934 NA NA
"9_12665446" "corn_B73_v5" 1 21623495 21623495 NA NA
"9_12665458" "corn_B73_v5" 1 21623534 21623534 1 50.5
"9_12665450" "corn_B73_v5" 1 21623721 21623721 NA NA
"9_12653088" "corn_B73_v5" 1 21623774 21623774 1 41.5
"9_12665454" "corn_B73_v5" 1 21623967 21623967 1 45.9
"9_12665449" "corn_B73_v5" 1 21624077 21624077 1 41.5
"9_12649642" "corn_B73_v5" 1 21624167 21624167 NA NA
"9_233835802" "corn_B73_v5" 1 21831759 21831759 NA NA
"9_12653065" "corn_B73_v5" 1 21857957 21857957 NA NA
"9_23630889" "corn_B73_v5" 1 21905955 21905955 NA NA
"9_12652858" "corn_B73_v5" 1 22115577 22115577 NA NA
"9_12652845" "corn_B73_v5" 1 22122557 22122557 NA NA
"9_226097496" "corn_B73_v5" 1 22563247 22563247 NA NA
"9_226097495" "corn_B73_v5" 1 22563249 22563249 NA NA
"9_12652849" "corn_B73_v5" 1 22570012 22570012 NA NA
"9_12652977" "corn_B73_v5" 1 22621707 22621707 NA NA
"9_12649669" "corn_B73_v5" 1 22779052 22779052 NA NA
"9_12649758" "corn_B73_v5" 1 22779212 22779212 1 43.5
"9_233843691" "corn_B73_v5" 1 22821733 22821733 NA NA
"9_233843917" "corn_B73_v5" 1 22824727 22824727 NA NA
"9_12652929" "corn_B73_v5" 1 22828505 22828505 NA NA
"9_23631533" "corn_B73_v5" 1 22833469 22833469 NA NA
"9_12668045" "corn_B73_v5" 1 23077051 23077051 1 43.7
"9_226100150" "corn_B73_v5" 1 23246320 23246320 NA NA
"9_226100153" "corn_B73_v5" 1 23246364 23246364 NA NA
"9_257336490" "corn_B73_v5" 1 23246503 23246503 NA NA
"9_12653005" "corn_B73_v5" 1 23248850 23248850 NA NA
"9_12652928" "corn_B73_v5" 1 23411115 23411115 NA NA
"9_12652842" "corn_B73_v5" 1 23411488 23411488 NA NA
"9_12665384" "corn_B73_v5" 1 23433177 23433177 1 44.5
"9_12649718" "corn_B73_v5" 1 23433661 23433661 1 44.3
